"Resource URL","Resource Type","New File Name"
"https://mega-roms.vercel.app/","Web Page","Files\mega-roms_vercel.app"
"https://mega-roms.vercel.app/images/android13.png","Image","Files\android13.png"
"https://mega-roms.vercel.app/images/android14.png","Image","Files\android14.png"
"https://mega-roms.vercel.app/images/android15.png","Image","Files\android15.png"
"https://mega-roms.vercel.app/images/creator.png","Image","Files\creator.png"
"https://mega-roms.vercel.app/images/developer.jpg","Image","Files\developer.jpg"
"https://mega-roms.vercel.app/_next/static/css/c245d4b699a6dae2.css","External Resource","Files\c245d4b699a6dae2.css"
"https://mega-roms.vercel.app/_next/static/css/b3cbcd051438d1d5.css","External Resource","Files\b3cbcd051438d1d5.css"
"https://mega-roms.vercel.app/_next/static/chunks/webpack-3e1d444ded1f13b7.js","External Resource","Files\webpack-3e1d444ded1f13b7.js"
"https://mega-roms.vercel.app","External Resource","Files\mega-roms_vercel(2).app"
"https://mega-roms.vercel.app/_next/static/media/a34f9d1faa5f3315-s.p.woff2","External Resource","Files\a34f9d1faa5f3315-s_p_woff2"
"https://mega-roms.vercel.app/","External Resource","Files\mega-roms_vercel(3).app"
"https://mega-roms.vercel.app/images/megaos-icon.png","External Resource","Files\megaos-icon.png"
